FEN,Moves,Moves_UCI,Puzzle_ID,9M_results
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,"{'c5c4': {'wp': np.float64(0.1583530207047812), 'cp': -453}, 'c6b5': {'wp': np.float64(0.16379647082638107), 'cp': -442}, 'c6d5': {'wp': np.float64(0.1416417523907887), 'cp': -489}, 'c6d6': {'wp': np.float64(0.13581300788886042), 'cp': -502}, 'g7g5': {'wp': np.float64(0.19593926710154635), 'cp': -383}, 'g7g6': {'wp': np.float64(0.15166693466058806), 'cp': -467}, 'h7h5': {'wp': np.float64(0.14464269438300742), 'cp': -482}, 'h7h6': {'wp': np.float64(0.14698609819560918), 'cp': -477}, 'a8a7': {'wp': np.float64(0.10001712898731739), 'cp': -596}, 'a8b8': {'wp': np.float64(0.17680006522207165), 'cp': -417}, 'a8c8': {'wp': np.float64(0.1528005589372174), 'cp': -465}, 'a8d8': {'wp': np.float64(0.1950395585233201), 'cp': -384}, 'e8e1': {'wp': np.float64(0.12230485657953508), 'cp': -535}, 'e8e2': {'wp': np.float64(0.2344205817028326), 'cp': -321}, 'e8e3': {'wp': np.float64(0.07619819638569339), 'cp': -677}, 'e8e4': {'wp': np.float64(0.15441381252041247), 'cp': -461}, 'e8e5': {'wp': np.float64(0.1489437794679452), 'cp': -473}, 'e8e6': {'wp': np.float64(0.14496124985135267), 'cp': -481}, 'e8e7': {'wp': np.float64(0.07521581705889704), 'cp': -681}, 'e8b8': {'wp': np.float64(0.15701044567896416), 'cp': -456}, 'e8c8': {'wp': np.float64(0.1410182851289596), 'cp': -490}, 'e8d8': {'wp': np.float64(0.15843063687151593), 'cp': -453}, 'e8f8': {'wp': np.float64(0.19050421017083294), 'cp': -392}, 'e8g8': {'wp': np.float64(0.1386884644580182), 'cp': -495}, 'e8h8': {'wp': np.float64(0.1345050601538395), 'cp': -505}}"
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,"{'c5c4': {'wp': np.float64(0.4117921453566395), 'cp': -96}, 'c5d4': {'wp': np.float64(0.3990181317888802), 'cp': -111}, 'a6a5': {'wp': np.float64(0.4299692184530677), 'cp': -76}, 'b6b5': {'wp': np.float64(0.38379798629861317), 'cp': -128}, 'f6e4': {'wp': np.float64(0.42590931259386267), 'cp': -81}, 'f6g4': {'wp': np.float64(0.3668302791888311), 'cp': -148}, 'f6h5': {'wp': np.float64(0.44399275700726215), 'cp': -61}, 'g6g5': {'wp': np.float64(0.3065934679743823), 'cp': -221}, 'b7c6': {'wp': np.float64(0.18201067866599993), 'cp': -408}, 'b7c8': {'wp': np.float64(0.3209526965161271), 'cp': -203}, 'd7e5': {'wp': np.float64(0.16743898724166295), 'cp': -435}, 'd7b8': {'wp': np.float64(0.33939741335096135), 'cp': -180}, 'd7f8': {'wp': np.float64(0.3895043256395385), 'cp': -122}, 'h7h5': {'wp': np.float64(0.3986820505259616), 'cp': -111}, 'h7h6': {'wp': np.float64(0.41262134903780967), 'cp': -95}, 'a8a7': {'wp': np.float64(0.3997130112633101), 'cp': -110}, 'a8b8': {'wp': np.float64(0.43191749851234496), 'cp': -74}, 'a8c8': {'wp': np.float64(0.4586012686328699), 'cp': -45}, 'd8c7': {'wp': np.float64(0.06646606090987715), 'cp': -717}, 'd8e7': {'wp': np.float64(0.4006244451757237), 'cp': -109}, 'd8b8': {'wp': np.float64(0.4117265891590284), 'cp': -96}, 'd8c8': {'wp': np.float64(0.4028664593741731), 'cp': -106}, 'e8e3': {'wp': np.float64(0.10960604828761245), 'cp': -568}, 'e8e4': {'wp': np.float64(0.21639997539642963), 'cp': -349}, 'e8e5': {'wp': np.float64(0.14623315414695826), 'cp': -479}, 'e8e6': {'wp': np.float64(0.44498420086590507), 'cp': -60}, 'e8e7': {'wp': np.float64(0.4156779208999698), 'cp': -92}, 'e8f8': {'wp': np.float64(0.3991233118583437), 'cp': -111}, 'g8g7': {'wp': np.float64(0.4059876522129045), 'cp': -103}, 'g8h8': {'wp': np.float64(0.4017500282980291), 'cp': -108}}"
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,"{'c1a1': {'wp': np.float64(0.15586688726492637), 'cp': -458}, 'c1b1': {'wp': np.float64(0.45500200822924664), 'cp': -49}, 'c1d1': {'wp': np.float64(0.5375370122071772), 'cp': 40}, 'c1e1': {'wp': np.float64(0.49061611014651596), 'cp': -10}, 'c1f1': {'wp': np.float64(0.27386129642291557), 'cp': -264}, 'g1h1': {'wp': np.float64(0.4878111476679053), 'cp': -13}, 'g1g2': {'wp': np.float64(0.5383108929255602), 'cp': 41}, 'c2a2': {'wp': np.float64(0.45157377362727413), 'cp': -52}, 'c2b2': {'wp': np.float64(0.15633524397488113), 'cp': -457}, 'c2d2': {'wp': np.float64(0.5116249477641386), 'cp': 12}, 'c2e2': {'wp': np.float64(0.1549787283291411), 'cp': -460}, 'c2c3': {'wp': np.float64(0.42087182082467), 'cp': -86}, 'c2c4': {'wp': np.float64(0.24287111328995625), 'cp': -308}, 'c2c5': {'wp': np.float64(0.13040550231490128), 'cp': -515}, 'a3a4': {'wp': np.float64(0.4623799194735965), 'cp': -40}, 'f3d1': {'wp': np.float64(0.29519036491783623), 'cp': -236}, 'f3h1': {'wp': np.float64(0.32624117575022266), 'cp': -196}, 'f3e2': {'wp': np.float64(0.06305686677597835), 'cp': -732}, 'f3g2': {'wp': np.float64(0.4364276633464055), 'cp': -69}, 'f3b3': {'wp': np.float64(0.46429518667924885), 'cp': -38}, 'f3c3': {'wp': np.float64(0.12007634330742584), 'cp': -540}, 'f3d3': {'wp': np.float64(0.04642613251823803), 'cp': -820}, 'f3e3': {'wp': np.float64(0.0838432207372531), 'cp': -649}, 'f3g3': {'wp': np.float64(0.035818604577622766), 'cp': -894}, 'f3e4': {'wp': np.float64(0.4274727669606997), 'cp': -79}, 'f3f4': {'wp': np.float64(0.050876087162327395), 'cp': -794}, 'f3g4': {'wp': np.float64(0.5311459223232919), 'cp': 33}, 'f3d5': {'wp': np.float64(0.06443964204711979), 'cp': -726}, 'f3f5': {'wp': np.float64(0.07502046119317991), 'cp': -682}, 'f3h5': {'wp': np.float64(0.06405224558745432), 'cp': -728}, 'f3f6': {'wp': np.float64(0.08301158219522461), 'cp': -652}, 'f3f7': {'wp': np.float64(0.12395961659231082), 'cp': -531}, 'b4b5': {'wp': np.float64(0.6403430350341504), 'cp': 156}, 'h4h5': {'wp': np.float64(0.41596263898204044), 'cp': -92}, 'c6a4': {'wp': np.float64(0.43227723022752557), 'cp': -74}, 'c6e4': {'wp': np.float64(0.4273540707959192), 'cp': -79}, 'c6b5': {'wp': np.float64(0.18448963748564862), 'cp': -403}, 'c6d5': {'wp': np.float64(0.20476470462992552), 'cp': -368}, 'c6b7': {'wp': np.float64(0.4000719061078475), 'cp': -110}, 'c6d7': {'wp': np.float64(0.34628836745722713), 'cp': -172}, 'c6a8': {'wp': np.float64(0.4301939661016861), 'cp': -76}, 'c6e8': {'wp': np.float64(0.24823728949092216), 'cp': -300}}"
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,"{'e4d2': {'wp': np.float64(0.0039062777274831715), 'cp': -1504}, 'e4f2': {'wp': np.float64(0.003906310994890439), 'cp': -1504}, 'e4c3': {'wp': np.float64(0.003906510689573644), 'cp': -1504}, 'e4g3': {'wp': np.float64(0.003914102151422174), 'cp': -1504}, 'e4c5': {'wp': np.float64(0.003906273543195335), 'cp': -1504}, 'e4g5': {'wp': np.float64(0.003907798412469436), 'cp': -1504}, 'e4d6': {'wp': np.float64(0.003906398035375474), 'cp': -1504}, 'e4f6': {'wp': np.float64(0.47337756869033143), 'cp': -28}, 'h4e1': {'wp': np.float64(0.003906264287216674), 'cp': -1504}, 'h4h1': {'wp': np.float64(0.09799965362523966), 'cp': -602}, 'h4f2': {'wp': np.float64(0.10599922219541381), 'cp': -579}, 'h4h2': {'wp': np.float64(0.06297037419166784), 'cp': -733}, 'h4g3': {'wp': np.float64(0.05022220014242042), 'cp': -798}, 'h4h3': {'wp': np.float64(0.003906291346437713), 'cp': -1504}, 'h4f4': {'wp': np.float64(0.003909687383714471), 'cp': -1504}, 'h4g4': {'wp': np.float64(0.4019694687953428), 'cp': -107}, 'h4g5': {'wp': np.float64(0.027263397689935964), 'cp': -970}, 'h4h5': {'wp': np.float64(0.003911793231051774), 'cp': -1504}, 'h4f6': {'wp': np.float64(0.13245242313636446), 'cp': -510}, 'h4e7': {'wp': np.float64(0.03837595860885798), 'cp': -874}, 'h4d8': {'wp': np.float64(0.003906597259035285), 'cp': -1504}, 'b6b5': {'wp': np.float64(0.003906280883826887), 'cp': -1504}, 'e6e5': {'wp': np.float64(0.05531165726490145), 'cp': -770}, 'e6c6': {'wp': np.float64(0.003906296790278748), 'cp': -1504}, 'e6d6': {'wp': np.float64(0.003907121478343691), 'cp': -1504}, 'e6f6': {'wp': np.float64(0.37617874662593603), 'cp': -137}, 'e6g6': {'wp': np.float64(0.06111936864270573), 'cp': -741}, 'e6e7': {'wp': np.float64(0.005593989055678251), 'cp': -1406}, 'g7g5': {'wp': np.float64(0.00390839287982394), 'cp': -1504}, 'g7g6': {'wp': np.float64(0.0039063281146451655), 'cp': -1504}, 'e8e7': {'wp': np.float64(0.004217223335667683), 'cp': -1484}, 'e8a8': {'wp': np.float64(0.003906279624221682), 'cp': -1504}, 'e8b8': {'wp': np.float64(0.003906299418305145), 'cp': -1504}, 'e8c8': {'wp': np.float64(0.003906305312499222), 'cp': -1504}, 'e8d8': {'wp': np.float64(0.00390634803890187), 'cp': -1504}, 'e8f8': {'wp': np.float64(0.003907421390013212), 'cp': -1504}, 'g8f7': {'wp': np.float64(0.2726757334874159), 'cp': -266}, 'g8h7': {'wp': np.float64(0.003906403947348586), 'cp': -1504}, 'g8h8': {'wp': np.float64(0.0039063432731666365), 'cp': -1504}}"
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,"{'c2b1': {'wp': np.float64(0.14709001025947754), 'cp': -477}, 'c2d1': {'wp': np.float64(0.5377723170455873), 'cp': 41}, 'c2b3': {'wp': np.float64(0.1298530709663166), 'cp': -516}, 'c2d3': {'wp': np.float64(0.14731074462990584), 'cp': -476}, 'c2a4': {'wp': np.float64(0.4199334788874065), 'cp': -87}, 'c2e4': {'wp': np.float64(0.1417174543620458), 'cp': -489}, 'c2f5': {'wp': np.float64(0.328578653698993), 'cp': -194}, 'c2g6': {'wp': np.float64(0.14240455097657542), 'cp': -487}, 'b4b3': {'wp': np.float64(0.49941194838756453), 'cp': 0}, 'a5a2': {'wp': np.float64(0.14527720464968197), 'cp': -481}, 'a5a3': {'wp': np.float64(0.1260026782628291), 'cp': -526}, 'a5a4': {'wp': np.float64(0.4924734538433181), 'cp': -8}, 'a5b5': {'wp': np.float64(0.20179515313694724), 'cp': -373}, 'a5b6': {'wp': np.float64(0.2638699927919185), 'cp': -278}, 'a5c7': {'wp': np.float64(0.37385023962147823), 'cp': -140}, 'a5d8': {'wp': np.float64(0.11117414777076205), 'cp': -564}, 'c5b3': {'wp': np.float64(0.23256445971144046), 'cp': -324}, 'c5d3': {'wp': np.float64(0.08687476923193821), 'cp': -638}, 'c5a4': {'wp': np.float64(0.08115193269546644), 'cp': -659}, 'c5e4': {'wp': np.float64(0.07497586036835385), 'cp': -682}, 'c5b7': {'wp': np.float64(0.07005686099048329), 'cp': -702}, 'c5d7': {'wp': np.float64(0.07640806309573259), 'cp': -676}, 'e7g5': {'wp': np.float64(0.1838581289895832), 'cp': -404}, 'e7d6': {'wp': np.float64(0.13564258998884937), 'cp': -502}, 'e7f6': {'wp': np.float64(0.13297235488539275), 'cp': -509}, 'e7d8': {'wp': np.float64(0.1628994423691604), 'cp': -444}, 'e7f8': {'wp': np.float64(0.1870640690943651), 'cp': -399}, 'f7f5': {'wp': np.float64(0.1416704194875722), 'cp': -489}, 'f7f6': {'wp': np.float64(0.1412973160161248), 'cp': -490}, 'g7g6': {'wp': np.float64(0.1865232795243889), 'cp': -399}, 'h7h6': {'wp': np.float64(0.17501545488989184), 'cp': -421}, 'c8c6': {'wp': np.float64(0.127954368155994), 'cp': -521}, 'c8c7': {'wp': np.float64(0.1788559815033079), 'cp': -413}, 'c8a8': {'wp': np.float64(0.12233395780278947), 'cp': -535}, 'c8b8': {'wp': np.float64(0.187923407320139), 'cp': -397}, 'c8d8': {'wp': np.float64(0.1200397670620838), 'cp': -541}, 'c8e8': {'wp': np.float64(0.12997307187290436), 'cp': -516}, 'c8f8': {'wp': np.float64(0.13190748202918512), 'cp': -511}, 'g8f8': {'wp': np.float64(0.15858107356746975), 'cp': -453}, 'g8h8': {'wp': np.float64(0.16433507339993825), 'cp': -441}}"
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,"{'h4g2': {'wp': np.float64(0.2378444357167236), 'cp': -316}, 'h4f3': {'wp': np.float64(0.6201758797432526), 'cp': 133}, 'h4f5': {'wp': np.float64(0.4420738304366739), 'cp': -63}, 'h4g6': {'wp': np.float64(0.3915964870283747), 'cp': -119}, 'b6b5': {'wp': np.float64(0.1614050203066858), 'cp': -447}, 'd6d5': {'wp': np.float64(0.1643802065424847), 'cp': -441}, 'e6e5': {'wp': np.float64(0.134899718965764), 'cp': -504}, 'f6f2': {'wp': np.float64(0.06416949991328369), 'cp': -727}, 'f6f3': {'wp': np.float64(0.19942293902508013), 'cp': -377}, 'f6d4': {'wp': np.float64(0.12089684582388471), 'cp': -538}, 'f6f4': {'wp': np.float64(0.06234768909283678), 'cp': -736}, 'f6e5': {'wp': np.float64(0.13255259342422349), 'cp': -510}, 'f6f5': {'wp': np.float64(0.34231868347753935), 'cp': -177}, 'f6g5': {'wp': np.float64(0.1348398706093746), 'cp': -504}, 'f6g6': {'wp': np.float64(0.3038001301264824), 'cp': -225}, 'f6e7': {'wp': np.float64(0.14692944977152125), 'cp': -477}, 'f6d8': {'wp': np.float64(0.13762845587918007), 'cp': -498}, 'h6h5': {'wp': np.float64(0.1332939190007114), 'cp': -508}, 'a7a5': {'wp': np.float64(0.13902155414629644), 'cp': -495}, 'a7a6': {'wp': np.float64(0.14382451066410837), 'cp': -484}, 'b7h1': {'wp': np.float64(0.10584883268619749), 'cp': -579}, 'b7g2': {'wp': np.float64(0.1788372411602912), 'cp': -413}, 'b7f3': {'wp': np.float64(0.13932030402586632), 'cp': -494}, 'b7e4': {'wp': np.float64(0.09288087389850404), 'cp': -618}, 'b7d5': {'wp': np.float64(0.10578951727829994), 'cp': -579}, 'b7a6': {'wp': np.float64(0.12892811335997184), 'cp': -518}, 'b7c6': {'wp': np.float64(0.1335298775703277), 'cp': -507}, 'b7c8': {'wp': np.float64(0.12514776858908172), 'cp': -528}, 'g7g5': {'wp': np.float64(0.17615904458228088), 'cp': -418}, 'g7g6': {'wp': np.float64(0.13916981638593173), 'cp': -494}, 'a8b8': {'wp': np.float64(0.14464434263072443), 'cp': -482}, 'a8c8': {'wp': np.float64(0.15911036337973), 'cp': -452}, 'a8d8': {'wp': np.float64(0.15042504031168089), 'cp': -470}, 'a8e8': {'wp': np.float64(0.1428436829244328), 'cp': -486}, 'f8b8': {'wp': np.float64(0.13874896398751518), 'cp': -495}, 'f8c8': {'wp': np.float64(0.15240899004047073), 'cp': -465}, 'f8d8': {'wp': np.float64(0.14968452312156305), 'cp': -471}, 'f8e8': {'wp': np.float64(0.14193902371135897), 'cp': -488}, 'g8h8': {'wp': np.float64(0.1368699414797162), 'cp': -500}}"
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,"{'b5f1': {'wp': np.float64(0.12397773838741744), 'cp': -531}, 'b5e2': {'wp': np.float64(0.1316115279879333), 'cp': -512}, 'b5d3': {'wp': np.float64(0.42844147774848007), 'cp': -78}, 'b5a4': {'wp': np.float64(0.602227152979879), 'cp': 112}, 'b5c4': {'wp': np.float64(0.11927854641766511), 'cp': -542}, 'b5c6': {'wp': np.float64(0.404038421683069), 'cp': -105}, 'b5d7': {'wp': np.float64(0.42719221023893755), 'cp': -79}, 'b5e8': {'wp': np.float64(0.4198387690410639), 'cp': -87}, 'd5c3': {'wp': np.float64(0.1890795878618276), 'cp': -395}, 'd5e3': {'wp': np.float64(0.13469151477104496), 'cp': -505}, 'd5b4': {'wp': np.float64(0.47408592935917776), 'cp': -28}, 'd5f4': {'wp': np.float64(0.25940029776159035), 'cp': -284}, 'd5b6': {'wp': np.float64(0.14095171508350446), 'cp': -490}, 'd5f6': {'wp': np.float64(0.41333822781635876), 'cp': -95}, 'd5c7': {'wp': np.float64(0.3382061969817335), 'cp': -182}, 'd5e7': {'wp': np.float64(0.4350974436205629), 'cp': -70}, 'a6a5': {'wp': np.float64(0.42651743020071453), 'cp': -80}, 'e6e5': {'wp': np.float64(0.3688884781750078), 'cp': -145}, 'h6h5': {'wp': np.float64(0.4518529778403127), 'cp': -52}, 'f7f5': {'wp': np.float64(0.42602916511740774), 'cp': -80}, 'f7f6': {'wp': np.float64(0.43700634136188526), 'cp': -68}, 'g7g5': {'wp': np.float64(0.45365362613881327), 'cp': -50}, 'g7g6': {'wp': np.float64(0.42819854234580357), 'cp': -78}, 'b8g3': {'wp': np.float64(0.17022864980294977), 'cp': -430}, 'b8f4': {'wp': np.float64(0.2624582786263259), 'cp': -280}, 'b8e5': {'wp': np.float64(0.47279438110771654), 'cp': -29}, 'b8d6': {'wp': np.float64(0.4476739518087072), 'cp': -57}, 'b8a7': {'wp': np.float64(0.545809137237854), 'cp': 49}, 'b8c7': {'wp': np.float64(0.42157444596813387), 'cp': -85}, 'c8c5': {'wp': np.float64(0.28102659601481456), 'cp': -255}, 'c8c6': {'wp': np.float64(0.44986878387038604), 'cp': -54}, 'c8c7': {'wp': np.float64(0.4458753063556174), 'cp': -59}, 'c8d8': {'wp': np.float64(0.43613664413404973), 'cp': -69}, 'c8e8': {'wp': np.float64(0.43190245837559477), 'cp': -74}, 'c8f8': {'wp': np.float64(0.15115613827672095), 'cp': -468}, 'g8h7': {'wp': np.float64(0.45324030237612034), 'cp': -50}, 'g8h8': {'wp': np.float64(0.4331858749807456), 'cp': -73}}"
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,"{'b2b1': {'wp': np.float64(0.22203595572754442), 'cp': -340}, 'b2a2': {'wp': np.float64(0.37305580325126897), 'cp': -140}, 'b2c2': {'wp': np.float64(0.24059489980663962), 'cp': -312}, 'b2d2': {'wp': np.float64(0.18142244358849557), 'cp': -409}, 'b2e2': {'wp': np.float64(0.40167659048370297), 'cp': -108}, 'b2f2': {'wp': np.float64(0.19008703347129075), 'cp': -393}, 'b2g2': {'wp': np.float64(0.16997922804674148), 'cp': -430}, 'b2h2': {'wp': np.float64(0.1772180178351367), 'cp': -416}, 'b2b3': {'wp': np.float64(0.2937181720795984), 'cp': -238}, 'b2b4': {'wp': np.float64(0.16166768048837565), 'cp': -446}, 'b2b5': {'wp': np.float64(0.29012854595828097), 'cp': -243}, 'b2b6': {'wp': np.float64(0.26665600764833164), 'cp': -274}, 'b2b7': {'wp': np.float64(0.2604141252541581), 'cp': -283}, 'b2b8': {'wp': np.float64(0.3194779765522934), 'cp': -205}, 'g4g3': {'wp': np.float64(0.3265465396562224), 'cp': -196}, 'g4f4': {'wp': np.float64(0.2197275496177239), 'cp': -344}, 'g4h4': {'wp': np.float64(0.30612209971132387), 'cp': -222}, 'g4g5': {'wp': np.float64(0.14096589881565336), 'cp': -490}, 'g4g6': {'wp': np.float64(0.48027521384083505), 'cp': -21}, 'g4g7': {'wp': np.float64(0.28774176027645737), 'cp': -246}, 'g4g8': {'wp': np.float64(0.4781732580669389), 'cp': -23}, 'h5g3': {'wp': np.float64(0.7269718250376656), 'cp': 265}, 'h5f4': {'wp': np.float64(0.29031688487227747), 'cp': -242}, 'h5f6': {'wp': np.float64(0.395536201354604), 'cp': -115}, 'h5g7': {'wp': np.float64(0.3342107037434221), 'cp': -187}, 'c7c5': {'wp': np.float64(0.5893364583120473), 'cp': 98}, 'c7c6': {'wp': np.float64(0.347334007238441), 'cp': -171}, 'e7h4': {'wp': np.float64(0.4835438112668271), 'cp': -17}, 'e7e5': {'wp': np.float64(0.10072194519871047), 'cp': -594}, 'e7g5': {'wp': np.float64(0.07774767481245104), 'cp': -671}, 'e7e6': {'wp': np.float64(0.09295843455959796), 'cp': -618}, 'e7f6': {'wp': np.float64(0.4183868964450408), 'cp': -89}, 'e7d7': {'wp': np.float64(0.5793313822587578), 'cp': 86}, 'e7f7': {'wp': np.float64(0.4142833333291134), 'cp': -94}, 'e7g7': {'wp': np.float64(0.4806031464945768), 'cp': -21}, 'e7d8': {'wp': np.float64(0.3240544613651437), 'cp': -199}, 'e7e8': {'wp': np.float64(0.41293236862208893), 'cp': -95}, 'e7f8': {'wp': np.float64(0.3608811615641363), 'cp': -155}, 'h7g6': {'wp': np.float64(0.3640118362147877), 'cp': -151}, 'h7g8': {'wp': np.float64(0.28879842772663267), 'cp': -244}}"
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,"{'e2d1': {'wp': np.float64(0.06377495437521752), 'cp': -729}, 'e2e1': {'wp': np.float64(0.06287471694356521), 'cp': -733}, 'e2f1': {'wp': np.float64(0.06422299099323044), 'cp': -727}, 'e2a2': {'wp': np.float64(0.276872969514505), 'cp': -260}, 'e2b2': {'wp': np.float64(0.06242971166850525), 'cp': -735}, 'e2c2': {'wp': np.float64(0.05993238161163241), 'cp': -747}, 'e2d2': {'wp': np.float64(0.06278782422606884), 'cp': -734}, 'e2f2': {'wp': np.float64(0.05540114013304524), 'cp': -770}, 'e2d3': {'wp': np.float64(0.6014707451707348), 'cp': 111}, 'e2e3': {'wp': np.float64(0.06524545837436901), 'cp': -722}, 'e2f3': {'wp': np.float64(0.532044186920025), 'cp': 34}, 'e2c4': {'wp': np.float64(0.5773356335912634), 'cp': 84}, 'e2e4': {'wp': np.float64(0.5990725001987784), 'cp': 109}, 'e2g4': {'wp': np.float64(0.06120152337191185), 'cp': -741}, 'e2b5': {'wp': np.float64(0.5600627291625713), 'cp': 65}, 'e2e5': {'wp': np.float64(0.5668781631859342), 'cp': 73}, 'e2h5': {'wp': np.float64(0.4657917689959833), 'cp': -37}, 'e2e6': {'wp': np.float64(0.12449604434190889), 'cp': -529}, 'c5b4': {'wp': np.float64(0.07124071835820292), 'cp': -697}, 'c5c4': {'wp': np.float64(0.057470952880704924), 'cp': -759}, 'a6a5': {'wp': np.float64(0.0667692884735133), 'cp': -716}, 'b6b4': {'wp': np.float64(0.05876996506036637), 'cp': -753}, 'b6b5': {'wp': np.float64(0.05894584525926233), 'cp': -752}, 'b6c6': {'wp': np.float64(0.047199804270603204), 'cp': -816}, 'b6b7': {'wp': np.float64(0.060747540280957565), 'cp': -743}, 'b6b8': {'wp': np.float64(0.061178313385378616), 'cp': -741}, 'g6g5': {'wp': np.float64(0.060107334075611515), 'cp': -746}, 'h7h5': {'wp': np.float64(0.06316385640957037), 'cp': -732}, 'h7h6': {'wp': np.float64(0.06089320529415112), 'cp': -743}, 'f8e7': {'wp': np.float64(0.06117472310265851), 'cp': -741}, 'f8g7': {'wp': np.float64(0.06443627514114265), 'cp': -726}, 'f8e8': {'wp': np.float64(0.057938968854500256), 'cp': -757}}"
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,"{'a5b3': {'wp': np.float64(0.3837695252845048), 'cp': -128}, 'a5c4': {'wp': np.float64(0.16206526043560066), 'cp': -446}, 'a5c6': {'wp': np.float64(0.18132601590737407), 'cp': -409}, 'a5b7': {'wp': np.float64(0.18019216685800532), 'cp': -411}, 'e5d4': {'wp': np.float64(0.1985344822788906), 'cp': -378}, 'e5f4': {'wp': np.float64(0.6713690845595384), 'cp': 194}, 'b6b5': {'wp': np.float64(0.20955974516796272), 'cp': -360}, 'd6d5': {'wp': np.float64(0.17786260227657458), 'cp': -415}, 'h6h5': {'wp': np.float64(0.0792983727438748), 'cp': -665}, 'a7a6': {'wp': np.float64(0.1964829771640635), 'cp': -382}, 'c7c1': {'wp': np.float64(0.232934847793556), 'cp': -323}, 'c7c2': {'wp': np.float64(0.5085545342290372), 'cp': 9}, 'c7c3': {'wp': np.float64(0.12242377771330964), 'cp': -534}, 'c7c4': {'wp': np.float64(0.5830500246142104), 'cp': 91}, 'c7c5': {'wp': np.float64(0.09529522535321608), 'cp': -611}, 'c7c6': {'wp': np.float64(0.24234668999814124), 'cp': -309}, 'c7b7': {'wp': np.float64(0.1666024763213434), 'cp': -437}, 'c7d7': {'wp': np.float64(0.15357368354440137), 'cp': -463}, 'c7e7': {'wp': np.float64(0.15015892808812403), 'cp': -470}, 'c7b8': {'wp': np.float64(0.14585798669851474), 'cp': -480}, 'c7d8': {'wp': np.float64(0.313448459723499), 'cp': -212}, 'h7g7': {'wp': np.float64(0.15899324389843922), 'cp': -452}, 'h7h8': {'wp': np.float64(0.003907685596818941), 'cp': -1504}, 'c8a8': {'wp': np.float64(0.13639003919538295), 'cp': -501}, 'c8b8': {'wp': np.float64(0.14109422394496673), 'cp': -490}, 'c8d8': {'wp': np.float64(0.13431285165106654), 'cp': -506}, 'c8e8': {'wp': np.float64(0.12854930618188498), 'cp': -519}, 'c8f8': {'wp': np.float64(0.1273276813498565), 'cp': -522}, 'g8g2': {'wp': np.float64(0.16182870934127463), 'cp': -446}, 'g8g3': {'wp': np.float64(0.168071880131775), 'cp': -434}, 'g8g4': {'wp': np.float64(0.19580042770356576), 'cp': -383}, 'g8g5': {'wp': np.float64(0.32109974635714145), 'cp': -203}, 'g8g6': {'wp': np.float64(0.09350821791064007), 'cp': -616}, 'g8g7': {'wp': np.float64(0.21444096148530023), 'cp': -352}, 'g8d8': {'wp': np.float64(0.10151723740504259), 'cp': -592}, 'g8e8': {'wp': np.float64(0.11756239322824408), 'cp': -547}, 'g8f8': {'wp': np.float64(0.11827473188501308), 'cp': -545}, 'g8h8': {'wp': np.float64(0.1787112982966591), 'cp': -414}}"
