FEN,Moves,Moves_UCI,9M_results
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,"{'c1a1': {'wp': np.float64(0.21170271131435262), 'cp': -357}, 'c1b1': {'wp': np.float64(0.3432819730890194), 'cp': -176}, 'c1c2': {'wp': np.float64(0.4562759818813741), 'cp': -47}, 'c1c3': {'wp': np.float64(0.08830248067853046), 'cp': -634}, 'd1e1': {'wp': np.float64(0.4732157316267946), 'cp': -29}, 'd1f1': {'wp': np.float64(0.4242209642921907), 'cp': -82}, 'd1d2': {'wp': np.float64(0.48440223591944265), 'cp': -16}, 'd1d3': {'wp': np.float64(0.4402885842658316), 'cp': -65}, 'd1d4': {'wp': np.float64(0.38875480059513284), 'cp': -122}, 'g1f1': {'wp': np.float64(0.439649012323463), 'cp': -65}, 'g1h1': {'wp': np.float64(0.4468392572730109), 'cp': -57}, 'g1g2': {'wp': np.float64(0.4244793826197273), 'cp': -82}, 'g3g4': {'wp': np.float64(0.39949298882266093), 'cp': -110}, 'h3f1': {'wp': np.float64(0.5037472367340445), 'cp': 4}, 'h3g2': {'wp': np.float64(0.4649015991060305), 'cp': -38}, 'h3g4': {'wp': np.float64(0.44009589573584507), 'cp': -65}, 'h3f5': {'wp': np.float64(0.44855230206086477), 'cp': -56}, 'h3e6': {'wp': np.float64(0.11623566457589062), 'cp': -550}, 'h3d7': {'wp': np.float64(0.4481793575235592), 'cp': -56}, 'h3c8': {'wp': np.float64(0.14109577540862916), 'cp': -490}, 'c4b2': {'wp': np.float64(0.22463690639271913), 'cp': -336}, 'c4d2': {'wp': np.float64(0.5035305154392533), 'cp': 3}, 'c4a3': {'wp': np.float64(0.17590927275715806), 'cp': -419}, 'c4e3': {'wp': np.float64(0.546400917156719), 'cp': 50}, 'c4b6': {'wp': np.float64(0.2355155795388471), 'cp': -319}, 'c4d6': {'wp': np.float64(0.5962220389591439), 'cp': 105}, 'e4d2': {'wp': np.float64(0.44015520153831444), 'cp': -65}, 'e4c3': {'wp': np.float64(0.10683607101269994), 'cp': -576}, 'e4c5': {'wp': np.float64(0.3098934230064589), 'cp': -217}, 'e4g5': {'wp': np.float64(0.44258536420533623), 'cp': -62}, 'e4d6': {'wp': np.float64(0.4873577844461273), 'cp': -13}, 'e4f6': {'wp': np.float64(0.1508236470735061), 'cp': -469}, 'e5e6': {'wp': np.float64(0.40408902995737517), 'cp': -105}}"
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,"{'a5a4': {'wp': np.float64(0.5497598391467791), 'cp': 54}, 'e5d3': {'wp': np.float64(0.20071726652156432), 'cp': -375}, 'e5f3': {'wp': np.float64(0.16368689665683217), 'cp': -442}, 'e5c4': {'wp': np.float64(0.2517937413953071), 'cp': -295}, 'e5g4': {'wp': np.float64(0.21127151542308606), 'cp': -357}, 'e5c6': {'wp': np.float64(0.5584253879713336), 'cp': 63}, 'e5d7': {'wp': np.float64(0.42447536170218264), 'cp': -82}, 'e6c6': {'wp': np.float64(0.5239841660807598), 'cp': 26}, 'e6d6': {'wp': np.float64(0.2490207195635783), 'cp': -299}, 'e6f6': {'wp': np.float64(0.4164727305515846), 'cp': -91}, 'g6g5': {'wp': np.float64(0.5727090416472685), 'cp': 79}, 'e7h4': {'wp': np.float64(0.3834422690936662), 'cp': -128}, 'e7g5': {'wp': np.float64(0.052374716969190264), 'cp': -786}, 'e7d6': {'wp': np.float64(0.0797148606634754), 'cp': -664}, 'e7f6': {'wp': np.float64(0.11257005128762423), 'cp': -560}, 'e7a7': {'wp': np.float64(0.058318273335532834), 'cp': -755}, 'e7b7': {'wp': np.float64(0.06636571536013061), 'cp': -718}, 'e7c7': {'wp': np.float64(0.045132722184050095), 'cp': -828}, 'e7d7': {'wp': np.float64(0.5278918597113826), 'cp': 30}, 'e7d8': {'wp': np.float64(0.5171069670059776), 'cp': 18}, 'e7e8': {'wp': np.float64(0.2620502289057304), 'cp': -281}, 'f7f5': {'wp': np.float64(0.46931182700223195), 'cp': -33}, 'f7f6': {'wp': np.float64(0.5319623101804466), 'cp': 34}, 'g7f6': {'wp': np.float64(0.45003887812111265), 'cp': -54}, 'g7h6': {'wp': np.float64(0.1219999480781093), 'cp': -536}, 'g7h8': {'wp': np.float64(0.5354047057158493), 'cp': 38}, 'h7h5': {'wp': np.float64(0.46833295737411973), 'cp': -34}, 'h7h6': {'wp': np.float64(0.5704264952819004), 'cp': 77}, 'f8a8': {'wp': np.float64(0.09007517250000288), 'cp': -628}, 'f8b8': {'wp': np.float64(0.5268271030818079), 'cp': 29}, 'f8c8': {'wp': np.float64(0.5346349206890351), 'cp': 37}, 'f8d8': {'wp': np.float64(0.5374034843637474), 'cp': 40}, 'f8e8': {'wp': np.float64(0.5449218871455503), 'cp': 48}, 'g8h8': {'wp': np.float64(0.5404788629415485), 'cp': 44}}"
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,"{'b1a1': {'wp': np.float64(0.4402528030664481), 'cp': -65}, 'b1a2': {'wp': np.float64(0.33297608952540525), 'cp': -188}, 'f1c1': {'wp': np.float64(0.05033196985882982), 'cp': -797}, 'f1d1': {'wp': np.float64(0.06342735878462158), 'cp': -731}, 'f1e1': {'wp': np.float64(0.3567181105425996), 'cp': -160}, 'f1g1': {'wp': np.float64(0.31121047327840956), 'cp': -215}, 'f1h1': {'wp': np.float64(0.34261330601736373), 'cp': -176}, 'f1f2': {'wp': np.float64(0.17792825527690415), 'cp': -415}, 'f1f3': {'wp': np.float64(0.15870880960031597), 'cp': -452}, 'f1f4': {'wp': np.float64(0.0835941544496232), 'cp': -650}, 'f1f5': {'wp': np.float64(0.13409985996450358), 'cp': -506}, 'b2b3': {'wp': np.float64(0.17705394916720973), 'cp': -417}, 'a3b4': {'wp': np.float64(0.6415008548159125), 'cp': 158}, 'g3e1': {'wp': np.float64(0.336654166062193), 'cp': -184}, 'g3g1': {'wp': np.float64(0.3330487773498638), 'cp': -188}, 'g3f2': {'wp': np.float64(0.4685756588271408), 'cp': -34}, 'g3g2': {'wp': np.float64(0.40421763846380987), 'cp': -105}, 'g3h2': {'wp': np.float64(0.49005240903581526), 'cp': -10}, 'g3b3': {'wp': np.float64(0.07803424762683575), 'cp': -670}, 'g3c3': {'wp': np.float64(0.07888364795059821), 'cp': -667}, 'g3d3': {'wp': np.float64(0.45482059978935174), 'cp': -49}, 'g3e3': {'wp': np.float64(0.09647600920986471), 'cp': -607}, 'g3f3': {'wp': np.float64(0.40823403725458585), 'cp': -100}, 'g3h3': {'wp': np.float64(0.3243861537981062), 'cp': -199}, 'g3f4': {'wp': np.float64(0.08334702132108529), 'cp': -651}, 'g3e5': {'wp': np.float64(0.7154901871833061), 'cp': 250}, 'g3d6': {'wp': np.float64(0.10618682708426941), 'cp': -578}, 'g3c7': {'wp': np.float64(0.20271065281122957), 'cp': -371}, 'e4e5': {'wp': np.float64(0.1219158077950326), 'cp': -536}, 'h4h5': {'wp': np.float64(0.5124009415115403), 'cp': 13}, 'd5a2': {'wp': np.float64(0.0814579528889472), 'cp': -657}, 'd5b3': {'wp': np.float64(0.13788866981416786), 'cp': -497}, 'd5c4': {'wp': np.float64(0.13852884567254997), 'cp': -496}, 'd5c6': {'wp': np.float64(0.14571245742816274), 'cp': -480}, 'd5e6': {'wp': np.float64(0.48272071772900205), 'cp': -18}, 'd5b7': {'wp': np.float64(0.1304579395515778), 'cp': -515}, 'f6f2': {'wp': np.float64(0.4932311175524189), 'cp': -7}, 'f6f3': {'wp': np.float64(0.46754927953345216), 'cp': -35}, 'f6f4': {'wp': np.float64(0.21482615230671076), 'cp': -351}, 'f6f5': {'wp': np.float64(0.26302169482554694), 'cp': -279}, 'f6e6': {'wp': np.float64(0.6244152622488315), 'cp': 138}, 'f6g6': {'wp': np.float64(0.2511560258706478), 'cp': -296}, 'f6f7': {'wp': np.float64(0.6022774548826568), 'cp': 112}}"
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,"{'g1a1': {'wp': np.float64(0.06357120918922307), 'cp': -730}, 'g1b1': {'wp': np.float64(0.021634098691528228), 'cp': -1035}, 'g1c1': {'wp': np.float64(0.07762067639639235), 'cp': -672}, 'g1d1': {'wp': np.float64(0.028550242560233252), 'cp': -957}, 'g1e1': {'wp': np.float64(0.07396728548721018), 'cp': -686}, 'g1f1': {'wp': np.float64(0.06781069923978719), 'cp': -711}, 'g1g2': {'wp': np.float64(0.05884016932515605), 'cp': -752}, 'g1g3': {'wp': np.float64(0.05654871585499158), 'cp': -764}, 'g1g4': {'wp': np.float64(0.04775097730144874), 'cp': -812}, 'g1g5': {'wp': np.float64(0.05506211602211152), 'cp': -772}, 'g1g6': {'wp': np.float64(0.08312540250151967), 'cp': -651}, 'g1g7': {'wp': np.float64(0.05189346730256171), 'cp': -789}, 'g1g8': {'wp': np.float64(0.08995739531828839), 'cp': -628}, 'h1g2': {'wp': np.float64(0.06169562344462909), 'cp': -739}, 'a2a3': {'wp': np.float64(0.07174655334206309), 'cp': -695}, 'a2a4': {'wp': np.float64(0.07201785423434195), 'cp': -694}, 'b2b3': {'wp': np.float64(0.07545392899929898), 'cp': -680}, 'b2b4': {'wp': np.float64(0.07203617226738177), 'cp': -694}, 'c2b1': {'wp': np.float64(0.17544055176312678), 'cp': -420}, 'c2c1': {'wp': np.float64(0.24908528216379633), 'cp': -299}, 'c2d1': {'wp': np.float64(0.22203379925570954), 'cp': -340}, 'c2d2': {'wp': np.float64(0.13294792309435266), 'cp': -509}, 'c2e2': {'wp': np.float64(0.07726493941949591), 'cp': -673}, 'c2b3': {'wp': np.float64(0.24438921950063186), 'cp': -306}, 'c2c3': {'wp': np.float64(0.08971540173431336), 'cp': -629}, 'c2d3': {'wp': np.float64(0.45801410907248163), 'cp': -45}, 'c2a4': {'wp': np.float64(0.08625593808344612), 'cp': -641}, 'h2h3': {'wp': np.float64(0.07456657160601232), 'cp': -684}, 'h2h4': {'wp': np.float64(0.07640592474700991), 'cp': -676}, 'e3c1': {'wp': np.float64(0.0770665462245676), 'cp': -674}, 'e3d2': {'wp': np.float64(0.0934538587704038), 'cp': -617}, 'e3d4': {'wp': np.float64(0.14444635194325173), 'cp': -483}, 'e3f4': {'wp': np.float64(0.0795886003066606), 'cp': -664}, 'e3c5': {'wp': np.float64(0.07463734946718348), 'cp': -683}, 'e3b6': {'wp': np.float64(0.0805752688283547), 'cp': -661}, 'f3e1': {'wp': np.float64(0.04405955014009585), 'cp': -835}, 'f3d2': {'wp': np.float64(0.024439830060474566), 'cp': -1001}, 'f3d4': {'wp': np.float64(0.028319228716899847), 'cp': -960}, 'f3h4': {'wp': np.float64(0.07510614227595602), 'cp': -681}, 'f3e5': {'wp': np.float64(0.3170636235679454), 'cp': -208}, 'f3g5': {'wp': np.float64(0.03748678188162602), 'cp': -881}, 'c4c5': {'wp': np.float64(0.07376105692155632), 'cp': -687}}"
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,"{'d1a1': {'wp': np.float64(0.482837051623005), 'cp': -18}, 'd1b1': {'wp': np.float64(0.4627220699439352), 'cp': -40}, 'd1c1': {'wp': np.float64(0.5012570220084633), 'cp': 1}, 'd1e1': {'wp': np.float64(0.44029374663310916), 'cp': -65}, 'd1f1': {'wp': np.float64(0.44718280957777423), 'cp': -57}, 'd1d2': {'wp': np.float64(0.4752420066110229), 'cp': -26}, 'g1f1': {'wp': np.float64(0.5148936607770209), 'cp': 16}, 'g1h1': {'wp': np.float64(0.4827842898157), 'cp': -18}, 'g1g2': {'wp': np.float64(0.5372736367233244), 'cp': 40}, 'a2a3': {'wp': np.float64(0.5029128984539608), 'cp': 3}, 'a2a4': {'wp': np.float64(0.5708025906936753), 'cp': 77}, 'b2b3': {'wp': np.float64(0.5227504626094723), 'cp': 24}, 'b2b4': {'wp': np.float64(0.4173918985400229), 'cp': -90}, 'h2h3': {'wp': np.float64(0.4912868075887975), 'cp': -9}, 'h2h4': {'wp': np.float64(0.5015536830261679), 'cp': 1}, 'd3d2': {'wp': np.float64(0.5066502023063858), 'cp': 7}, 'd3a3': {'wp': np.float64(0.4473577735405315), 'cp': -57}, 'd3b3': {'wp': np.float64(0.5731662318698861), 'cp': 80}, 'd3c3': {'wp': np.float64(0.5132516789678773), 'cp': 14}, 'd3e3': {'wp': np.float64(0.45619941570295897), 'cp': -47}, 'd3d4': {'wp': np.float64(0.11560783384416126), 'cp': -552}, 'd3d5': {'wp': np.float64(0.2300121822172272), 'cp': -328}, 'd3d6': {'wp': np.float64(0.37043739495483186), 'cp': -144}, 'f3f4': {'wp': np.float64(0.3405689916815853), 'cp': -179}, 'a5b3': {'wp': np.float64(0.27350406350122947), 'cp': -265}, 'a5c4': {'wp': np.float64(0.1779957398028187), 'cp': -415}, 'a5c6': {'wp': np.float64(0.4531762400394265), 'cp': -51}, 'a5b7': {'wp': np.float64(0.14771054197831132), 'cp': -476}, 'g5c1': {'wp': np.float64(0.49212193839641116), 'cp': -8}, 'g5d2': {'wp': np.float64(0.4903903110717812), 'cp': -10}, 'g5e3': {'wp': np.float64(0.5484846020218744), 'cp': 52}, 'g5f4': {'wp': np.float64(0.24655641174358228), 'cp': -303}, 'g5h4': {'wp': np.float64(0.47208695209888274), 'cp': -30}, 'g5f6': {'wp': np.float64(0.5033896418390017), 'cp': 3}, 'g5h6': {'wp': np.float64(0.191742180076946), 'cp': -390}}"
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,"{'a6a5': {'wp': np.float64(0.3614321384296535), 'cp': -154}, 'c6c5': {'wp': np.float64(0.5023870707402017), 'cp': 2}, 'd6d5': {'wp': np.float64(0.408627635757484), 'cp': -100}, 'h6h5': {'wp': np.float64(0.43978047820116134), 'cp': -65}, 'a7f2': {'wp': np.float64(0.2412773735528388), 'cp': -311}, 'a7e3': {'wp': np.float64(0.20873313601365673), 'cp': -361}, 'a7d4': {'wp': np.float64(0.3918846610874176), 'cp': -119}, 'a7c5': {'wp': np.float64(0.24738851047782373), 'cp': -302}, 'a7b6': {'wp': np.float64(0.36407094220218134), 'cp': -151}, 'a7b8': {'wp': np.float64(0.4355702519473844), 'cp': -70}, 'd7h3': {'wp': np.float64(0.06090988254245011), 'cp': -742}, 'd7g4': {'wp': np.float64(0.45209131553175674), 'cp': -52}, 'd7f5': {'wp': np.float64(0.056383357842015355), 'cp': -765}, 'd7e6': {'wp': np.float64(0.472303949783378), 'cp': -30}, 'd7b7': {'wp': np.float64(0.34202482901020503), 'cp': -177}, 'd7c7': {'wp': np.float64(0.4641026664995016), 'cp': -39}, 'd7c8': {'wp': np.float64(0.43135859683038547), 'cp': -75}, 'd7e8': {'wp': np.float64(0.4085321172940045), 'cp': -100}, 'e7d5': {'wp': np.float64(0.16842340584691498), 'cp': -433}, 'e7f5': {'wp': np.float64(0.17436621753052675), 'cp': -422}, 'e7g6': {'wp': np.float64(0.44268278061998956), 'cp': -62}, 'e7c8': {'wp': np.float64(0.4083181379188212), 'cp': -100}, 'f7f5': {'wp': np.float64(0.4824687166272422), 'cp': -19}, 'f7f6': {'wp': np.float64(0.4285499128724196), 'cp': -78}, 'g7g5': {'wp': np.float64(0.39927845804475937), 'cp': -110}, 'g7g6': {'wp': np.float64(0.38144770975153663), 'cp': -131}, 'd8a8': {'wp': np.float64(0.23237618997632323), 'cp': -324}, 'd8b8': {'wp': np.float64(0.24546073600800744), 'cp': -304}, 'd8c8': {'wp': np.float64(0.2377500796581492), 'cp': -316}, 'd8e8': {'wp': np.float64(0.23563938018181174), 'cp': -319}, 'f8e8': {'wp': np.float64(0.44607091658698583), 'cp': -58}, 'g8h7': {'wp': np.float64(0.4222403440231364), 'cp': -85}, 'g8h8': {'wp': np.float64(0.4234934939865513), 'cp': -83}}"
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,"{'c1a1': {'wp': np.float64(0.13854285026126956), 'cp': -496}, 'c1b1': {'wp': np.float64(0.1369495855197236), 'cp': -499}, 'c1c2': {'wp': np.float64(0.1512105714349955), 'cp': -468}, 'd1e1': {'wp': np.float64(0.13293553837040664), 'cp': -509}, 'd1f1': {'wp': np.float64(0.1309118452510749), 'cp': -514}, 'd1d2': {'wp': np.float64(0.09961120807636742), 'cp': -597}, 'd1d3': {'wp': np.float64(0.13562779819848697), 'cp': -503}, 'd1d4': {'wp': np.float64(0.09885624195544424), 'cp': -600}, 'g1f1': {'wp': np.float64(0.1296453688682385), 'cp': -517}, 'g1h1': {'wp': np.float64(0.12846096428830445), 'cp': -519}, 'b2b3': {'wp': np.float64(0.1301563447205485), 'cp': -515}, 'b2b4': {'wp': np.float64(0.13593443947164202), 'cp': -502}, 'g2g3': {'wp': np.float64(0.141570244951946), 'cp': -489}, 'g2g4': {'wp': np.float64(0.12384998283296456), 'cp': -531}, 'h2h3': {'wp': np.float64(0.13756213210118623), 'cp': -498}, 'h2h4': {'wp': np.float64(0.44678518022550145), 'cp': -58}, 'a3a4': {'wp': np.float64(0.13191494690341238), 'cp': -511}, 'c3b1': {'wp': np.float64(0.1331182285787819), 'cp': -508}, 'c3a2': {'wp': np.float64(0.132176150092807), 'cp': -511}, 'c3e2': {'wp': np.float64(0.13616475716738655), 'cp': -501}, 'c3a4': {'wp': np.float64(0.1456290014436673), 'cp': -480}, 'c3b5': {'wp': np.float64(0.12553735052138004), 'cp': -527}, 'f3e2': {'wp': np.float64(0.13613301148737678), 'cp': -501}, 'f3d3': {'wp': np.float64(0.1327152832512222), 'cp': -509}, 'f3e3': {'wp': np.float64(0.10512337986372015), 'cp': -581}, 'f3g3': {'wp': np.float64(0.14299260046300946), 'cp': -486}, 'f3h3': {'wp': np.float64(0.13391717878184017), 'cp': -506}, 'f3f4': {'wp': np.float64(0.0885292978327824), 'cp': -633}, 'f3g4': {'wp': np.float64(0.1349179877602633), 'cp': -504}, 'f3f5': {'wp': np.float64(0.14088835219776397), 'cp': -491}, 'f3h5': {'wp': np.float64(0.1342576704966287), 'cp': -506}, 'f3f6': {'wp': np.float64(0.07150717342873213), 'cp': -696}, 'f3f7': {'wp': np.float64(0.08332732174261076), 'cp': -651}, 'd5d6': {'wp': np.float64(0.3314341606837136), 'cp': -190}, 'g5d2': {'wp': np.float64(0.5544882450428313), 'cp': 59}, 'g5e3': {'wp': np.float64(0.5582245094517337), 'cp': 63}, 'g5f4': {'wp': np.float64(0.25345529462897737), 'cp': -293}, 'g5h4': {'wp': np.float64(0.14578949012706066), 'cp': -480}, 'g5f6': {'wp': np.float64(0.14131627105390748), 'cp': -490}, 'g5h6': {'wp': np.float64(0.21952342844505035), 'cp': -344}, 'g5e7': {'wp': np.float64(0.5444880476143584), 'cp': 48}}"
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,"{'d1a1': {'wp': np.float64(0.4705759601669878), 'cp': -32}, 'd1b1': {'wp': np.float64(0.500598232798946), 'cp': 0}, 'd1c1': {'wp': np.float64(0.4697796324449062), 'cp': -32}, 'd1e1': {'wp': np.float64(0.45716534843436035), 'cp': -46}, 'd1f1': {'wp': np.float64(0.4596155248453777), 'cp': -43}, 'd1d2': {'wp': np.float64(0.42479709442823504), 'cp': -82}, 'd1d3': {'wp': np.float64(0.17310251260221862), 'cp': -424}, 'g1f1': {'wp': np.float64(0.39311377284420534), 'cp': -117}, 'g1h1': {'wp': np.float64(0.4288024463227057), 'cp': -77}, 'g1h2': {'wp': np.float64(0.44811641936967483), 'cp': -56}, 'b2a1': {'wp': np.float64(0.4204902926383871), 'cp': -87}, 'b2b1': {'wp': np.float64(0.4998462778932665), 'cp': 0}, 'b2c1': {'wp': np.float64(0.42753159774877203), 'cp': -79}, 'b2a2': {'wp': np.float64(0.09274555743342208), 'cp': -619}, 'b2c2': {'wp': np.float64(0.518554200499439), 'cp': 20}, 'b2d2': {'wp': np.float64(0.4448035276535795), 'cp': -60}, 'b2e2': {'wp': np.float64(0.47309958775907424), 'cp': -29}, 'b2a3': {'wp': np.float64(0.42447443188509015), 'cp': -82}, 'b2b3': {'wp': np.float64(0.11609953405158835), 'cp': -551}, 'b2c3': {'wp': np.float64(0.4311085441255953), 'cp': -75}, 'f2f3': {'wp': np.float64(0.45748518506696667), 'cp': -46}, 'f2f4': {'wp': np.float64(0.39152170663940455), 'cp': -119}, 'g2f1': {'wp': np.float64(0.35296406878840647), 'cp': -164}, 'g2h1': {'wp': np.float64(0.35209582476149753), 'cp': -165}, 'g2f3': {'wp': np.float64(0.1876008758286969), 'cp': -398}, 'g2e4': {'wp': np.float64(0.41661472342178885), 'cp': -91}, 'h3h4': {'wp': np.float64(0.32978504214672605), 'cp': -192}, 'a4a5': {'wp': np.float64(0.46876829038882073), 'cp': -33}, 'b4b3': {'wp': np.float64(0.357620582988471), 'cp': -159}, 'b4c4': {'wp': np.float64(0.14296638215710927), 'cp': -486}, 'b4b5': {'wp': np.float64(0.16416765012222717), 'cp': -442}, 'b4b6': {'wp': np.float64(0.39538832661127565), 'cp': -115}, 'b4b7': {'wp': np.float64(0.18757661181613955), 'cp': -398}, 'd4d5': {'wp': np.float64(0.5196949987245607), 'cp': 21}, 'g4g5': {'wp': np.float64(0.3575189766552356), 'cp': -159}, 'c5b3': {'wp': np.float64(0.373553633266914), 'cp': -140}, 'c5d3': {'wp': np.float64(0.20201069329854904), 'cp': -373}, 'c5e4': {'wp': np.float64(0.5504947263716948), 'cp': 55}, 'c5a6': {'wp': np.float64(0.15813416176229295), 'cp': -454}, 'c5e6': {'wp': np.float64(0.5506480058394754), 'cp': 55}, 'c5b7': {'wp': np.float64(0.2831139736680182), 'cp': -252}, 'c5d7': {'wp': np.float64(0.1402471892247353), 'cp': -492}}"
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,"{'b4b3': {'wp': np.float64(0.43745862518068673), 'cp': -68}, 'd5c4': {'wp': np.float64(0.39006944928681353), 'cp': -121}, 'd5d4': {'wp': np.float64(0.3341204402574775), 'cp': -187}, 'c6a4': {'wp': np.float64(0.07457147747470702), 'cp': -683}, 'c6b5': {'wp': np.float64(0.05447155329935651), 'cp': -775}, 'c6a6': {'wp': np.float64(0.34522233092269033), 'cp': -173}, 'c6b6': {'wp': np.float64(0.3465259308745424), 'cp': -172}, 'c6d6': {'wp': np.float64(0.04577706348667833), 'cp': -824}, 'c6b7': {'wp': np.float64(0.3254412550137133), 'cp': -197}, 'c6c7': {'wp': np.float64(0.371844806995091), 'cp': -142}, 'c6c8': {'wp': np.float64(0.3301255863456546), 'cp': -192}, 'e6h3': {'wp': np.float64(0.13465126707248387), 'cp': -505}, 'e6g4': {'wp': np.float64(0.10915432859819058), 'cp': -570}, 'e6f5': {'wp': np.float64(0.3366883026088181), 'cp': -184}, 'g6g5': {'wp': np.float64(0.22880230501192939), 'cp': -330}, 'h6h5': {'wp': np.float64(0.32819349032398937), 'cp': -194}, 'd7e5': {'wp': np.float64(0.13494838052764777), 'cp': -504}, 'd7b6': {'wp': np.float64(0.20110124700794224), 'cp': -374}, 'd7f6': {'wp': np.float64(0.04143790626672711), 'cp': -853}, 'd7f8': {'wp': np.float64(0.17632344341289952), 'cp': -418}, 'e7f5': {'wp': np.float64(0.3109448074681273), 'cp': -216}, 'e7c8': {'wp': np.float64(0.2594445086749287), 'cp': -284}, 'e7g8': {'wp': np.float64(0.2891080374448919), 'cp': -244}, 'f7f5': {'wp': np.float64(0.2144468376337364), 'cp': -352}, 'f7f6': {'wp': np.float64(0.18779744343129123), 'cp': -397}, 'g7h7': {'wp': np.float64(0.3026786771075454), 'cp': -226}, 'g7f8': {'wp': np.float64(0.1586718097041459), 'cp': -453}, 'g7g8': {'wp': np.float64(0.2074666375543266), 'cp': -363}, 'g7h8': {'wp': np.float64(0.12226344752902317), 'cp': -535}, 'a8a6': {'wp': np.float64(0.3560477072671444), 'cp': -160}, 'a8a7': {'wp': np.float64(0.358440762521422), 'cp': -158}, 'b8b5': {'wp': np.float64(0.0904896627750583), 'cp': -626}, 'b8b6': {'wp': np.float64(0.34423584532390405), 'cp': -175}, 'b8b7': {'wp': np.float64(0.3237010525480342), 'cp': -200}, 'b8c8': {'wp': np.float64(0.34776209198113384), 'cp': -170}, 'b8d8': {'wp': np.float64(0.36423819241330235), 'cp': -151}, 'b8e8': {'wp': np.float64(0.37123416214876326), 'cp': -143}, 'b8f8': {'wp': np.float64(0.3753187597159289), 'cp': -138}, 'b8g8': {'wp': np.float64(0.3726950503170342), 'cp': -141}, 'b8h8': {'wp': np.float64(0.3624692010388424), 'cp': -153}}"
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,"{'d1a1': {'wp': np.float64(0.4109738061708372), 'cp': -97}, 'd1b1': {'wp': np.float64(0.4426975425161304), 'cp': -62}, 'd1c1': {'wp': np.float64(0.4599785858993056), 'cp': -43}, 'd1e1': {'wp': np.float64(0.4463595910661526), 'cp': -58}, 'f1e1': {'wp': np.float64(0.5387285488889572), 'cp': 42}, 'g1h1': {'wp': np.float64(0.47684237768424814), 'cp': -25}, 'a2a3': {'wp': np.float64(0.48954160780860423), 'cp': -11}, 'a2a4': {'wp': np.float64(0.5035708886923079), 'cp': 3}, 'd2b1': {'wp': np.float64(0.44909863475253975), 'cp': -55}, 'd2e4': {'wp': np.float64(0.22678232587811165), 'cp': -333}, 'e2e1': {'wp': np.float64(0.4561718995051871), 'cp': -47}, 'e2d3': {'wp': np.float64(0.4442153274151245), 'cp': -60}, 'e2e3': {'wp': np.float64(0.4809361016626924), 'cp': -20}, 'e2e4': {'wp': np.float64(0.06956929543583301), 'cp': -704}, 'e2e5': {'wp': np.float64(0.098168988757174), 'cp': -602}, 'e2e6': {'wp': np.float64(0.09142605546276919), 'cp': -623}, 'g2h1': {'wp': np.float64(0.47600804512761186), 'cp': -26}, 'g2h3': {'wp': np.float64(0.46528831436874685), 'cp': -37}, 'h2h3': {'wp': np.float64(0.4955556807094177), 'cp': -4}, 'h2h4': {'wp': np.float64(0.4925086850546758), 'cp': -8}, 'b3b4': {'wp': np.float64(0.4639217789910023), 'cp': -39}, 'f3e1': {'wp': np.float64(0.43097622369070654), 'cp': -75}, 'f3h4': {'wp': np.float64(0.40920161735594796), 'cp': -99}, 'f3e5': {'wp': np.float64(0.4482137713308483), 'cp': -56}, 'f3g5': {'wp': np.float64(0.2637501217333027), 'cp': -278}, 'g3g4': {'wp': np.float64(0.4178855868582292), 'cp': -90}, 'c4b5': {'wp': np.float64(0.47845821674038136), 'cp': -23}, 'd4c5': {'wp': np.float64(0.4933563876696864), 'cp': -7}, 'd4d5': {'wp': np.float64(0.6269262615313392), 'cp': 140}}"
